Username,mal_id,score
"['ArcadeRice', 94051, 8]"
"['ArcadeRice', 131843, 7]"
"['ArcadeRice', 127120, 9]"
"['ArcadeRice', 121857, 7]"
"['ArcadeRice', 132636, 6]"
"['ArcadeRice', 105366, 5]"
"['ArcadeRice', 118712, 8]"
"['ArcadeRice', 114551, 7]"
"['ArcadeRice', 121426, 6]"
"['ArcadeRice', 85941, 7]"
"['ArcadeRice', 103162, 6]"
"['ArcadeRice', 39883, 9]"
"['ArcadeRice', 125355, 7]"
"['ArcadeRice', 56945, 6]"
"['ArcadeRice', 17051, 8]"
"['ArcadeRice', 111213, 10]"
"['ArcadeRice', 12, 8]"
"['ArcadeRice', 139152, 8]"
"['ArcadeRice', 21614, 7]"
"['ArcadeRice', 63781, 5]"
"['ArcadeRice', 110619, 7]"
"['ArcadeRice', 110360, 3]"
"['ArcadeRice', 116778, 9]"
"['ArcadeRice', 116737, 6]"
"['ArcadeRice', 71363, 7]"
"['ArcadeRice', 127775, 4]"
"['ArcadeRice', 97327, 6]"
"['ArcadeRice', 3986, 7]"
"['ArcadeRice', 21, 10]"
"['ArcadeRice', 114788, 8]"
"['ArcadeRice', 78121, 6]"
"['ArcadeRice', 67019, 0]"
"['ArcadeRice', 55163, 7]"
"['ArcadeRice', 110727, 5]"
"['ArcadeRice', 116808, 7]"
"['ArcadeRice', 39281, 6]"
"['ArcadeRice', 60801, 7]"
"['ArcadeRice', 92160, 7]"
"['ArcadeRice', 93640, 6]"
"['ArcadeRice', 77637, 8]"
"['ArcadeRice', 18263, 4]"
"['ArcadeRice', 43415, 0]"
"['ArcadeRice', 42451, 8]"
"['ArcadeRice', 26, 10]"
"['ArcadeRice', 93562, 7]"
"['ArcadeRice', 47072, 7]"
"['ArcadeRice', 113626, 7]"
"['ArcadeRice', 17207, 7]"
"['ArcadeRice', 113657, 7]"
"['ArcadeRice', 112318, 8]"
"['ArcadeRice', 133493, 5]"
"['ArcadeRice', 39625, 7]"
"['ArcadeRice', 2921, 8]"
"['ArcadeRice', 130740, 7]"
"['ArcadeRice', 103236, 7]"
"['ArcadeRice', 47, 8]"
"['ArcadeRice', 96046, 8]"
"['ArcadeRice', 121079, 6]"
"['ArcadeRice', 117725, 8]"
"['ArcadeRice', 121740, 7]"
"['ArcadeRice', 91514, 6]"
"['ArcadeRice', 56805, 9]"
"['ArcadeRice', 126801, 7]"
"['ArcadeRice', 102259, 7]"
"['ArcadeRice', 96050, 6]"
"['ArcadeRice', 16, 8]"
"['ArcadeRice', 121945, 8]"
"['ArcadeRice', 13949, 8]"
"['ArcadeRice', 101711, 7]"
"['ArcadeRice', 129443, 5]"
"['ArcadeRice', 44485, 6]"
"['ArcadeRice', 131111, 7]"
"['ArcadeRice', 84559, 7]"
"['ArcadeRice', 105071, 6]"
"['ArcadeRice', 48399, 7]"
"['ArcadeRice', 29983, 6]"
"['ArcadeRice', 112510, 5]"
"['ArcadeRice', 76083, 7]"
"['ArcadeRice', 61173, 8]"
"['ArcadeRice', 121083, 0]"
"['ArcadeRice', 3031, 8]"
"['ArcadeRice', 111621, 6]"
"['ArcadeRice', 97320, 4]"
"['ArcadeRice', 77861, 7]"
"['ArcadeRice', 121919, 6]"
"['ArcadeRice', 78049, 4]"
"['ArcadeRice', 128529, 4]"
"['ArcadeRice', 115488, 7]"
"['ArcadeRice', 92900, 6]"
"['ArcadeRice', 92182, 8]"
"['ArcadeRice', 132519, 6]"
"['ArcadeRice', 123990, 7]"
"['ArcadeRice', 988, 8]"
"['ArcadeRice', 115746, 8]"
"['ArcadeRice', 90097, 7]"
"['ArcadeRice', 137500, 3]"
"['ArcadeRice', 83123, 7]"
"['ArcadeRice', 1271, 8]"
"['ArcadeRice', 120510, 0]"
"['ArcadeRice', 51659, 7]"
"['ArcadeRice', 65813, 7]"
"['ArcadeRice', 124845, 6]"
"['ArcadeRice', 123090, 6]"
"['ArcadeRice', 59893, 7]"
"['ArcadeRice', 103123, 7]"
