title,mal_id,type,chapters,volumes,status,genres,score,rank,author,serializations
Mystery to Iu nakare,111229,Manga,,,Publishing,"['Award Winning', 'Mystery']",7.94,797.0,"['Tamura, Yumi']",Flowers (Monthly)
Narikawari,120473,Manga,72.0,6.0,Finished,"['Drama', 'Mystery', 'Supernatural', 'Ecchi']",6.07,14991.0,"['Ooishi, Hiroto', 'Osada, Tohiki']",Magazine pocket
Nega-kun to Posi-chan,121354,Manga,58.0,4.0,Finished,['Comedy'],6.9,8855.0,"['Morita, Shunpei']",Dra-Dra Sharp#
Nejimaki Kagyuu,43525,Manga,159.0,16.0,Finished,"['Action', 'Comedy', 'Ecchi']",7.17,5490.0,"['Nakayama, Atsushi']",Young Jump
Nicola no Oyururi Makai Kikou,105399,Manga,25.0,4.0,Finished,"['Comedy', 'Fantasy', 'Slice of Life']",7.56,2184.0,"['Miyanaga, Asaya']",Harta
Nige Jouzu no Wakagimi,132845,Manga,,,Publishing,"['Adventure', 'Comedy']",6.4,13784.0,"['Matsui, Yuusei']",Shounen Jump (Weekly)
Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu,125530,Manga,,,Publishing,"['Action', 'Adventure', 'Fantasy']",7.04,7099.0,"['Kawakami, Masaki', 'Fuji, Shinta']",ComicWalker
Ninkyou Tensei: Isekai no Yakuza Hime,123065,Manga,,,Publishing,"['Action', 'Adventure', 'Fantasy']",7.53,2374.0,"['Natsuhara, Takeshi', 'Miyashita, Hiroki']",Sunday Gene-X
Ojisama to Neko,112774,Manga,,,Publishing,['Slice of Life'],8.29,294.0,"['Sakurai, Umi']",Gangan pixiv
Omniscient Reader,132214,Manhwa,,,Publishing,"['Action', 'Adventure', 'Fantasy']",8.36,216.0,"['sing N song', 'Sleepy-C']",Naver Webtoon
Oni no Youna Love Comedy,115192,Manga,41.0,5.0,Finished,"['Comedy', 'Romance']",6.65,11625.0,"['Izumi, Katsuki']",Shounen Champion (Weekly)
Owari no Seraph,43661,Manga,,,Publishing,"['Action', 'Drama', 'Supernatural']",7.8,1158.0,"['Yamamoto, Yamato', 'Kagami, Takaya', 'Furuya, Daisuke']",Jump SQ.
Platinum End,93180,Manga,58.0,14.0,Finished,"['Drama', 'Supernatural']",6.81,9865.0,"['Obata, Takeshi', 'Ohba, Tsugumi']",Jump SQ.
Plunderer,81681,Manga,82.0,21.0,Finished,"['Action', 'Fantasy']",7.35,3678.0,"['Minazuki, Suu']",Shounen Ace
Ponkotsu Fuuki Iin to Skirt-take ga Futekisetsu na JK no Hanashi,119260,Manga,,,Publishing,['Comedy'],7.63,1815.0,"['Yokota, Takuma']",Shounen Sirius
Radiation House,93561,Manga,,,Publishing,['Drama'],7.64,1798.0,"['Mori, Taishi', 'Yokomaku, Tomohiro']",Grand Jump
Real Account,65685,Manga,194.0,24.0,Finished,"['Drama', 'Sci-Fi']",7.15,5735.0,"['Watanabe, Shizumu', 'Okushou']",Bessatsu Shounen Magazine
Rebuild World,122147,Manga,,,Publishing,"['Action', 'Sci-Fi']",7.76,1297.0,"['Ayamura, Kirihito', 'Nafuse']",Dengeki Maoh
Saihate no Paladin,109339,Manga,,,Publishing,"['Action', 'Adventure', 'Fantasy']",7.84,1048.0,"['Okuhashi, Mutsumi', 'Yanagino, Kanata']",Comic Gardo
Samayoeru Tenseisha-tachi no Revival Game,120464,Manga,26.0,4.0,Finished,"['Adventure', 'Fantasy', 'Ecchi']",6.62,12005.0,"['Saitou, Kenji', 'Hino, Haruto']",Dragon Age
Sankarea,18597,Manga,59.0,11.0,Finished,"['Comedy', 'Horror', 'Romance', 'Supernatural', 'Ecchi']",7.69,1548.0,"['Hattori, Mitsuru']",Bessatsu Shounen Magazine
"Seibetsu ""Mona Lisa"" no Kimi e.",114381,Manga,,,Publishing,"['Drama', 'Romance']",7.33,3832.0,"['Yoshimura, Tsumuji']",Gangan Online
Senryuu Shoujo,105430,Manga,185.0,13.0,Finished,"['Comedy', 'Slice of Life']",8.06,597.0,"['Igarashi, Masakuni']",Shounen Magazine (Weekly)
Shinigami Bocchan to Kuro Maid,110029,Manga,,,Publishing,"['Comedy', 'Drama']",7.81,1141.0,"['Inoue, Koharu']",Sunday Webry
Shinu hodo Kimi no Shojo ga Hoshii,129815,Manga,63.0,7.0,Finished,"['Drama', 'Romance']",7.27,4514.0,['Tearontaron'],Magazine pocket
Shoujo Manga Shujinkou x Rival-san,125870,Manga,47.0,4.0,Finished,"['Comedy', 'Girls Love']",7.18,5347.0,['Kuu'],Gangan Joker
Shounen no Abyss,126699,Manga,,,Publishing,['Drama'],7.48,2688.0,"['Minenami, Ryou']",Young Jump
Shuumatsu no Walk�re,110485,Manga,,,Publishing,"['Action', 'Drama', 'Supernatural']",8.19,399.0,"['Fukui, Takumi', 'Umemura, Shinya', 'Ajichika']",Comic Zenon
Shy,121197,Manga,,,Publishing,"['Action', 'Drama']",7.18,5395.0,"['Miki, Bukimi']",Shounen Champion (Weekly)
Smokin' Parade,91731,Manga,49.0,10.0,Finished,"['Drama', 'Supernatural']",7.17,5445.0,"['Kondou, Kazuma', 'Kataoka, Jinsei']",Shounen Ace
Solo Leveling,121496,Manhwa,,,Finished,"['Action', 'Adventure', 'Fantasy']",8.74,43.0,"['Chugong', 'Jang, Sung-rak']",Kakao
Sono Bisque Doll wa Koi wo Suru,112268,Manga,,,Publishing,['Slice of Life'],8.09,539.0,"['Fukuda, Shinichi']",Young Gangan
