title,mal_id,type,chapters,volumes,status,genres,score,rank,author,serializations
"Onegai, Nugashite.",124123,Manga,,,Publishing,['Ecchi'],6.15,14828.0,"['Kawanaka, Yasushi']",Magazine pocket
Ookii Onnanoko wa Suki desu ka?,73705,Manga,,,Publishing,"['Romance', 'Sports', 'Ecchi']",6.36,14004.0,"['Aizome, Goro']",KiSSCA
Ore no Genjitsu wa Renai Game?? ka to Omottara Inochigake no Game datta,109615,Manga,,,Publishing,"['Suspense', 'Ecchi']",7.18,5415.0,"['Pon, Jea', 'Warui Otoko', 'Nashyu']",Manga UP!
Ore no Ie ga Maryoku Spot Datta Ken: Sundeiru dake de Sekai Saikyou,115515,Manga,,,Publishing,['Fantasy'],6.46,13396.0,"['Amaui, Shiroichi', 'chippi']",Suiyoubi wa Mattari Dash X Comic
Ore wa Lolicon ja Nai!,124687,Manga,,,Publishing,"['Comedy', 'Ecchi']",6.49,13136.0,['Uran'],Young Animal
Oyaji ga Bishoujo ni Natteta Hanashi,123712,Manga,,,Publishing,['Comedy'],7.12,6117.0,"['Akashingou, Wataru']",Monthly Action
Rain,17237,Manga,,,Publishing,"['Action', 'Adventure', 'Fantasy']",7.69,1573.0,"['Yoshino, Takumi', 'Sumikawa, Megumi']",Comic Blade
Renai Shikou Seitokai,118353,Manga,,,Publishing,"['Comedy', 'Romance', 'Ecchi']",6.54,12693.0,"['Kisaragi, Gunma']",Bessatsu Young Champion
Rengoku no Karma,85820,Manga,40.0,5.0,Finished,['Supernatural'],6.5,13106.0,"['Haruba, Negi', 'Hirose, Shun']",Shounen Magazine (Weekly)
Sabae to Yattara Owaru,133193,Manga,,,Publishing,"['Comedy', 'Romance', 'Slice of Life']",6.38,13927.0,"['Hayasaka, Keigo']",Kurage Bunch
Saikin Yatotta Maid ga Ayashii,123450,Manga,,,Publishing,"['Comedy', 'Slice of Life']",7.0,7617.0,"['Konbu, Wakame']",Gangan Joker
Salaryman ga Isekai ni Ittara Shitennou ni Natta Hanashi,124995,Manga,,,Publishing,"['Adventure', 'Comedy', 'Fantasy', 'Supernatural']",6.74,10629.0,"['Benigashira', 'Muramitsu']",Comic Gardo
Sanda,138842,Manga,,,Publishing,"['Action', 'Mystery']",6.97,7987.0,"['Itagaki, Paru']",Shounen Champion (Weekly)
Shikkakumon no Saikyou Kenja: Sekai Saikyou no Kenja ga Sarani Tsuyokunaru Tame ni Tensei Shimashita,107118,Manga,,,Publishing,"['Action', 'Fantasy']",6.99,7790.0,"['Kansho', 'Shinkou, Shotou', 'Hyoko']",Manga UP!
Shimauma,54901,Manga,,,Publishing,"['Action', 'Drama', 'Suspense']",6.96,8048.0,"['Obata, Fumio']",Young King
Shin no Jitsuryoku wa Girigiri made Kakushiteiyou to Omou,131613,Manga,,,Publishing,"['Action', 'Fantasy']",7.17,5466.0,"['Kamegoya, Sato', 'Nekoyasha']",Dengeki Daioh
Shindere Shoujo to Kodoku na Shinigami,32129,Manga,20.0,3.0,Finished,"['Drama', 'Mystery']",7.57,2130.0,"['Himura, Masaki', 'Katou, Yoshie']",Gangan Online
Sora yori Takaku,71659,Manga,351.0,27.0,Finished,[],6.59,12221.0,"['Miyashita, Akira']",Weekly Playboy
Succubus & Hitman,126653,Manga,,,Publishing,"['Action', 'Supernatural']",6.96,8125.0,"['Fukami, Makoto', 'Tokiya, Seigo']",Champion RED
Tenkaichi: Nihon Saikyou Bugeisha Ketteisen,139395,Manga,,,Publishing,['Action'],7.6,1986.0,"['Nakamaru, Yousuke', 'Azuma, Kyoutarou']",Young Magazine (Monthly)
Tokyo Kettou Kanjousen,139438,Manga,,,Publishing,['Action'],6.76,10491.0,"['Yamada, Toshiyaki']",Web Comic Zenyon
Trap Heroine,112336,Manga,30.0,4.0,Finished,"['Comedy', 'Romance']",6.57,12475.0,"['Tomiki, Takashi']",MangaONE
"Tsuihousha Shokudou e Youkoso!: Saikyou Party wo Tsuihou sareta Ryourinin wa, Boukensha Shokudou wo Hirakimasu!",124373,Manga,,,Publishing,['Fantasy'],7.07,6704.0,"['Tsumumi', 'Kimikawa, Yuuki']",Comic Gardo
Ushiro no Shoumen Kamui-san,126798,Manga,,,Publishing,"['Comedy', 'Supernatural', 'Ecchi']",6.89,8974.0,"['Eroki', 'Konoshiro, Shinko']",MangaONE
Veritas,10249,Manhwa,81.0,10.0,Finished,"['Action', 'Comedy', 'Drama', 'Supernatural', 'Ecchi']",7.56,2202.0,"['Yoon, Joon-shik', 'Kim, Dong-Hoon', 'Berry, Star']",Booking
Veteran Shougakusei Takashi,111936,Manga,,3.0,Finished,['Comedy'],,24111.0,"['Shouma, Keito']",twi4
Wangpai Yushi,111647,Manhua,,,Publishing,"['Comedy', 'Fantasy', 'Supernatural']",,24064.0,"['Tong, Yao']",Tencent Animation
Yakushoku Distopiary,86981,Manga,35.0,5.0,Finished,"['Action', 'Fantasy', 'Supernatural']",6.61,12064.0,"['Yaminabe, Tellmin', 'Senga, Fumitaka']",Young Gangan
Yami-ma no Mamiya,120369,Manga,,,Publishing,['Drama'],,36699.0,"['Fukumoto, Nobuyuki']",Kindai Mahjong
Yuragi-sou no Yuuna-san,96582,Manga,214.0,24.0,Finished,"['Comedy', 'Romance', 'Supernatural', 'Ecchi']",7.26,4520.0,"['Miura, Tadahiro']",Shounen Jump (Weekly)
"Yuusha, Yamemasu",115501,Manga,,,Publishing,"['Action', 'Adventure', 'Comedy', 'Fantasy']",6.81,9915.0,"['Kazato, Nori', 'Quantum']",Young Ace UP
Zingnize,122795,Manga,,,Publishing,"['Action', 'Comedy', 'Ecchi']",6.83,9602.0,['Warainaku'],Comic Ryu
