Username,mal_id,score
"['Chamito', 90800, 9]"
"['Chamito', 96792, 10]"
"['Chamito', 399, 10]"
"['Chamito', 56805, 10]"
"['Chamito', 103905, 8]"
"['Chamito', 36369, 10]"
"['Chamito', 96456, 9]"
"['Chamito', 4632, 10]"
"['Chamito', 25297, 9]"
"['Chamito', 78523, 7]"
"['Chamito', 92182, 7]"
"['Chamito', 908, 10]"
"['Chamito', 104565, 8]"
"['Chamito', 99949, 9]"
"['Chamito', 104, 10]"
"['Chamito', 102296, 9]"
"['Chamito', 31499, 4]"
"['Chamito', 664, 0]"
"['Chamito', 3986, 0]"
"['Chamito', 42279, 0]"
"['Chamito', 85781, 0]"
"['Chamito', 5806, 8]"
"['Chamito', 103694, 0]"
"['Chamito', 24903, 0]"
"['Chamito', 106190, 0]"
"['Chamito', 12994, 0]"
"['Chamito', 81467, 0]"
"['Chamito', 114725, 0]"
"['Chamito', 8848, 0]"
"['Chamito', 81117, 7]"
"['Dokubachi', 339, 0]"
"['Dokubachi', 120415, 0]"
"['Dokubachi', 58151, 0]"
"['Dokubachi', 24959, 0]"
"['Dokubachi', 13602, 0]"
"['Dokubachi', 3, 0]"
"['Dokubachi', 743, 0]"
"['Dokubachi', 14634, 0]"
"['Dokubachi', 8734, 0]"
"['Dokubachi', 17792, 0]"
"['Dokubachi', 35357, 0]"
"['Dokubachi', 1400, 0]"
"['Dokubachi', 9935, 0]"
"['Dokubachi', 4642, 0]"
"['Dokubachi', 20215, 0]"
"['Dokubachi', 11114, 0]"
"['Dokubachi', 64525, 0]"
"['Dokubachi', 24705, 0]"
"['Dokubachi', 965, 0]"
"['Dokubachi', 219, 0]"
"['Dokubachi', 12408, 0]"
"['Dokubachi', 32043, 0]"
"['Dokubachi', 67081, 0]"
"['Dokubachi', 52817, 0]"
"['Dokubachi', 3824, 0]"
"['Dokubachi', 1410, 0]"
"['Dokubachi', 13799, 0]"
"['Dokubachi', 10894, 0]"
"['Dokubachi', 7999, 0]"
"['Dokubachi', 444, 0]"
"['Dokubachi', 19611, 0]"
"['Dokubachi', 118459, 0]"
"['Dokubachi', 11977, 0]"
"['Dokubachi', 221, 0]"
"['Dokubachi', 142, 0]"
"['Dokubachi', 18258, 0]"
"['Dokubachi', 6055, 0]"
"['Dokubachi', 24637, 0]"
"['Dokubachi', 20375, 0]"
"['Dokubachi', 17368, 0]"
"['Dokubachi', 149, 0]"
"['Dokubachi', 952, 0]"
"['Dokubachi', 12, 0]"
"['Dokubachi', 1479, 0]"
"['Dokubachi', 2109, 0]"
"['Dokubachi', 94863, 0]"
"['Dokubachi', 8148, 0]"
"['Dokubachi', 1670, 0]"
"['Dokubachi', 8997, 0]"
"['Dokubachi', 162, 0]"
"['Dokubachi', 5639, 0]"
"['Dokubachi', 6933, 0]"
"['Dokubachi', 583, 0]"
"['Dokubachi', 8498, 0]"
"['Dokubachi', 1541, 0]"
"['Dokubachi', 5651, 0]"
"['Dokubachi', 26203, 0]"
"['Dokubachi', 44447, 0]"
"['Dokubachi', 46626, 0]"
"['Dokubachi', 1602, 0]"
"['Dokubachi', 3986, 0]"
"['Dokubachi', 1601, 0]"
"['Dokubachi', 10378, 0]"
"['Dokubachi', 28743, 0]"
"['Dokubachi', 1474, 0]"
"['Dokubachi', 10956, 0]"
"['Dokubachi', 13562, 0]"
"['Dokubachi', 60833, 0]"
"['Dokubachi', 26178, 0]"
"['Dokubachi', 80469, 0]"
"['Dokubachi', 1133, 0]"
"['Dokubachi', 1658, 0]"
"['Dokubachi', 229, 0]"
"['Dokubachi', 1542, 0]"
"['Dokubachi', 31853, 0]"
"['Dokubachi', 24858, 0]"
"['Dokubachi', 3780, 0]"
"['Dokubachi', 33687, 0]"
"['Dokubachi', 3256, 0]"
"['Dokubachi', 8872, 0]"
"['Dokubachi', 42027, 0]"
"['Dokubachi', 564, 0]"
"['Dokubachi', 18196, 0]"
"['Dokubachi', 20649, 0]"
"['Dokubachi', 15010, 0]"
"['Dokubachi', 19, 0]"
"['Dokubachi', 14160, 0]"
"['Dokubachi', 1470, 0]"
"['Dokubachi', 76959, 0]"
"['Dokubachi', 134067, 0]"
"['Dokubachi', 958, 0]"
"['Dokubachi', 63139, 0]"
"['Dokubachi', 132934, 0]"
"['Dokubachi', 336, 0]"
"['Dokubachi', 649, 0]"
"['Dokubachi', 11633, 0]"
"['Dokubachi', 909, 0]"
"['Dokubachi', 25848, 0]"
"['Dokubachi', 5943, 0]"
"['Dokubachi', 1609, 0]"
"['Dokubachi', 7532, 0]"
"['Dokubachi', 12049, 0]"
"['Dokubachi', 2179, 0]"
"['Dokubachi', 3107, 0]"
"['Dokubachi', 44369, 0]"
"['Dokubachi', 12409, 0]"
"['Dokubachi', 10619, 0]"
"['Dokubachi', 28361, 0]"
"['Dokubachi', 4553, 0]"
"['Dokubachi', 18148, 0]"
"['Dokubachi', 13354, 0]"
"['Dokubachi', 1149, 0]"
"['Dokubachi', 12467, 0]"
"['Dokubachi', 3285, 0]"
"['Dokubachi', 936, 0]"
"['Dokubachi', 19370, 0]"
"['Dokubachi', 3272, 0]"
"['Dokubachi', 5119, 0]"
"['Dokubachi', 8951, 0]"
"['Dokubachi', 16688, 0]"
"['Dokubachi', 6446, 0]"
"['Dokubachi', 37503, 0]"
"['Dokubachi', 15589, 0]"
"['Dokubachi', 16260, 0]"
"['Dokubachi', 5413, 0]"
"['Dokubachi', 1673, 0]"
"['Dokubachi', 15527, 0]"
"['Dokubachi', 379, 0]"
