title,mal_id,type,chapters,volumes,status,genres,score,rank,author,serializations
"Onegai, Nugashite.",124123,Manga,,,Publishing,['Ecchi'],6.15,14828,"['Kawanaka, Yasushi']",Magazine pocket
Ookii Onnanoko wa Suki desu ka?,73705,Manga,,,Publishing,"['Romance', 'Sports', 'Ecchi']",6.36,14004,"['Aizome, Goro']",KiSSCA
Ore no Genjitsu wa Renai Game?? ka to Omottara Inochigake no Game datta,109615,Manga,,,Publishing,"['Suspense', 'Ecchi']",7.18,5415,"['Pon, Jea', 'Warui Otoko', 'Nashyu']",Manga UP!
Ore no Ie ga Maryoku Spot Datta Ken: Sundeiru dake de Sekai Saikyou,115515,Manga,,,Publishing,['Fantasy'],6.46,13396,"['Amaui, Shiroichi', 'chippi']",Suiyoubi wa Mattari Dash X Comic
Ore wa Lolicon ja Nai!,124687,Manga,,,Publishing,"['Comedy', 'Ecchi']",6.49,13136,['Uran'],Young Animal
Oyaji ga Bishoujo ni Natteta Hanashi,123712,Manga,,,Publishing,['Comedy'],7.12,6117,"['Akashingou, Wataru']",Monthly Action
Rain,17237,Manga,,,Publishing,"['Action', 'Adventure', 'Fantasy']",7.69,1573,"['Yoshino, Takumi', 'Sumikawa, Megumi']",Comic Blade
Renai Shikou Seitokai,118353,Manga,,,Publishing,"['Comedy', 'Romance', 'Ecchi']",6.54,12693,"['Kisaragi, Gunma']",Bessatsu Young Champion
Rengoku no Karma,85820,Manga,40,5,Finished,['Supernatural'],6.5,13106,"['Haruba, Negi', 'Hirose, Shun']",Shounen Magazine (Weekly)
Sabae to Yattara Owaru,133193,Manga,,,Publishing,"['Comedy', 'Romance', 'Slice of Life']",6.38,13927,"['Hayasaka, Keigo']",Kurage Bunch
Saikin Yatotta Maid ga Ayashii,123450,Manga,,,Publishing,"['Comedy', 'Slice of Life']",7,7617,"['Konbu, Wakame']",Gangan Joker
Salaryman ga Isekai ni Ittara Shitennou ni Natta Hanashi,124995,Manga,,,Publishing,"['Adventure', 'Comedy', 'Fantasy', 'Supernatural']",6.74,10629,"['Benigashira', 'Muramitsu']",Comic Gardo
Sanda,138842,Manga,,,Publishing,"['Action', 'Mystery']",6.97,7987,"['Itagaki, Paru']",Shounen Champion (Weekly)
Shikkakumon no Saikyou Kenja: Sekai Saikyou no Kenja ga Sarani Tsuyokunaru Tame ni Tensei Shimashita,107118,Manga,,,Publishing,"['Action', 'Fantasy']",6.99,7790,"['Kansho', 'Shinkou, Shotou', 'Hyoko']",Manga UP!
Shimauma,54901,Manga,,,Publishing,"['Action', 'Drama', 'Suspense']",6.96,8048,"['Obata, Fumio']",Young King
Shin no Jitsuryoku wa Girigiri made Kakushiteiyou to Omou,131613,Manga,,,Publishing,"['Action', 'Fantasy']",7.17,5466,"['Kamegoya, Sato', 'Nekoyasha']",Dengeki Daioh
Shindere Shoujo to Kodoku na Shinigami,32129,Manga,20,3,Finished,"['Drama', 'Mystery']",7.57,2130,"['Himura, Masaki', 'Katou, Yoshie']",Gangan Online
Sora yori Takaku,71659,Manga,351,27,Finished,[],6.59,12221,"['Miyashita, Akira']",Weekly Playboy
Succubus & Hitman,126653,Manga,,,Publishing,"['Action', 'Supernatural']",6.96,8125,"['Fukami, Makoto', 'Tokiya, Seigo']",Champion RED
Tenkaichi: Nihon Saikyou Bugeisha Ketteisen,139395,Manga,,,Publishing,['Action'],7.6,1986,"['Nakamaru, Yousuke', 'Azuma, Kyoutarou']",Young Magazine (Monthly)
Tokyo Kettou Kanjousen,139438,Manga,,,Publishing,['Action'],6.76,10491,"['Yamada, Toshiyaki']",Web Comic Zenyon
Trap Heroine,112336,Manga,30,4,Finished,"['Comedy', 'Romance']",6.57,12475,"['Tomiki, Takashi']",MangaONE
"Tsuihousha Shokudou e Youkoso!: Saikyou Party wo Tsuihou sareta Ryourinin wa, Boukensha Shokudou wo Hirakimasu!",124373,Manga,,,Publishing,['Fantasy'],7.07,6704,"['Tsumumi', 'Kimikawa, Yuuki']",Comic Gardo
Ushiro no Shoumen Kamui-san,126798,Manga,,,Publishing,"['Comedy', 'Supernatural', 'Ecchi']",6.89,8974,"['Eroki', 'Konoshiro, Shinko']",MangaONE
Veritas,10249,Manhwa,81,10,Finished,"['Action', 'Comedy', 'Drama', 'Supernatural', 'Ecchi']",7.56,2202,"['Yoon, Joon-shik', 'Kim, Dong-Hoon', 'Berry, Star']",Booking
Veteran Shougakusei Takashi,111936,Manga,,3,Finished,['Comedy'],,24111,"['Shouma, Keito']",twi4
Wangpai Yushi,111647,Manhua,,,Publishing,"['Comedy', 'Fantasy', 'Supernatural']",,24064,"['Tong, Yao']",Tencent Animation
Yakushoku Distopiary,86981,Manga,35,5,Finished,"['Action', 'Fantasy', 'Supernatural']",6.61,12064,"['Yaminabe, Tellmin', 'Senga, Fumitaka']",Young Gangan
Yami-ma no Mamiya,120369,Manga,,,Publishing,['Drama'],,36699,"['Fukumoto, Nobuyuki']",Kindai Mahjong
Yuragi-sou no Yuuna-san,96582,Manga,214,24,Finished,"['Comedy', 'Romance', 'Supernatural', 'Ecchi']",7.26,4520,"['Miura, Tadahiro']",Shounen Jump (Weekly)
"Yuusha, Yamemasu",115501,Manga,,,Publishing,"['Action', 'Adventure', 'Comedy', 'Fantasy']",6.81,9915,"['Kazato, Nori', 'Quantum']",Young Ace UP
Zingnize,122795,Manga,,,Publishing,"['Action', 'Comedy', 'Ecchi']",6.83,9602,['Warainaku'],Comic Ryu
En Passant,17360,Manga,20,4,Finished,"['Action', 'Comedy', 'Fantasy']",6.99,7754,"['Yuzunoki, Tarou']",Gangan Online
Gekiryuuchi,15010,Manga,25,3,Finished,"['Action', 'Drama']",6.8,9953,"['Park, Joong-Ki', '28round']",Young Gangan
Gokutei Higuma,117054,Manga,22,3,Finished,"['Action', 'Supernatural']",6.62,11913,"['Hokami, Natsuki']",Shounen Jump (Weekly)
Hero Killer,99296,One-shot,1,,Finished,"['Action', 'Drama', 'Sci-Fi']",6.68,11279,"['Katou, Daiki']",Jump SQ.Crown
Kamen Teacher,6853,Manga,39,4,Finished,"['Action', 'Comedy', 'Ecchi']",7.18,5426,"['Fujisawa, Tooru']",Young Jump
Life Is Money,28184,Manga,16,3,Finished,"['Drama', 'Horror']",7.13,6020,"['Asaniji, Teru', 'Yaguraba, Tekka']",Gangan Online
Marry Grave,110967,Manga,52,5,Finished,['Fantasy'],7.54,2295,"['Yamaji, Hidenori']",Shounen Sunday
Mizutama Puzzle,45297,Manga,2,,Finished,['Romance'],6.7,11083,"['Hidaka, Shoko']",YOU
"Ore ga Akuma de, Aitsu ga Yome de.",32171,Manga,16,2,Finished,"['Comedy', 'Fantasy', 'Romance']",7.54,2300,"['Aruma, Rumi']",Gangan Online
Pochi Kuro,80187,Manga,43,4,Finished,"['Comedy', 'Fantasy', 'Slice of Life', 'Supernatural']",7.34,3788,"['Matsumoto, Naoya']",Shounen Jump+
Pygmalion,93653,Manga,19,3,Finished,"['Action', 'Fantasy', 'Horror']",6.27,14426,"['Watanabe, Chihiro']",Web Comic Beat's
Shinmai Maou no Testament,51755,Manga,46,9,Finished,"['Action', 'Fantasy', 'Romance', 'Ecchi']",7.19,5297,"['Uesu, Tetsuto', 'Kashiwa, Miyako']",Shounen Ace
Unlucky Boy Undead Girl,87281,One-shot,1,,Finished,"['Action', 'Drama', 'Romance', 'Supernatural']",7.3,4089,"['Tobita, Sou']",Bessatsu Shounen Magazine
Akkan Baby,1432,Manga,12,3,Finished,"['Comedy', 'Drama', 'Romance']",7.37,3547,"['Miyauchi, Saya']",Bessatsu Friend
S Rare Soubi no Niau Kanojo,100778,Manga,62,9,Finished,"['Adventure', 'Comedy', 'Ecchi']",6.13,14870,"['Oumi, Noko']",MangaONE
Shadows House,115730,Manga,,,Publishing,"['Slice of Life', 'Supernatural']",8.36,216,['Soumatou'],Young Jump
Ghost Teller,131171,Manhwa,,,Finished,"['Horror', 'Supernatural']",7.9,888,['QTT'],Naver Webtoon
Girl x Girl x Boy: Otome no Inori,10274,Manga,7,1,Finished,"['Girls Love', 'Romance', 'Erotica']",6.72,,['KUJIRA'],Comic Seed!
Hanjuku Joshi,11566,Manga,18,2,Finished,"['Drama', 'Girls Love', 'Romance', 'Erotica']",7.53,,"['Morishima, Akiko']",Comic Yuri Hime
Heads,2179,Manga,36,4,Finished,"['Action', 'Drama', 'Mystery', 'Sci-Fi']",7.46,2830,"['Higashino, Keigo', 'Mase, Motoro']",Young Sunday (Weekly)
Kyuuso wa Cheese no Yume wo Miru,2704,Manga,6,1,Finished,"['Boys Love', 'Drama', 'Erotica']",7.69,,"['Mizushiro, Setona']",Judy
Mars Red,122191,Manga,15,3,Finished,"['Action', 'Supernatural']",7.14,5828,"['Karakara, Kemuri', 'Fujisawa, Bunoh']",Comic Garden
