title,mal_id,type,chapters,volumes,status,genres,score,rank,author,serializations
1 Second,138443,Manhwa,,,Publishing,"['Action', 'Supernatural']",,23738,"['Sini', 'Gwang-un']",Naver Webtoon
11eyes: Tsumi to Batsu to Aganai no Shoujo,19745,Manga,12,3,Finished,"['Action', 'Fantasy', 'Romance', 'Supernatural', 'Ecchi']",6.39,13820,"['Ayano, Naoto']",Comp Ace
Ghost Girl,128150,Manga,,,Publishing,"['Action', 'Supernatural']",6.4,13804,"['Ikeda, Akihisa']",Shounen Jump+
Heart Gear,119321,Manga,,,Publishing,"['Action', 'Adventure', 'Sci-Fi']",7.55,2241,"['Takaki, Tsuyoshi']",Shounen Jump+
Hoshiakari Graphics,108233,Manga,23,3,Finished,[],,30329,"['Yamamoto, Kazune']",Harta
Hypnosis Mic: Before The Battle - The Dirty Dawg,117044,Manga,21,4,Finished,['Action'],7.99,703,"['Momose, Yuuichirou', 'Karasuzuki, Rui']",Shounen Magazine Edge
Kimi no Koto nado Zettai ni,81075,Manga,22,4,Finished,['Romance'],7.1,6366,"['Tanaka, Meca']",LaLa
Kino no Tabi: The Beautiful World,105916,Manga,22,5,Finished,"['Adventure', 'Fantasy', 'Mystery']",7.54,2335,"['Sigsawa, Keiichi', 'Gou']",Dengeki Daioh
Kujonin,109299,Manga,,,Publishing,"['Action', 'Adventure', 'Fantasy']",7.31,4022,"['Asakawa, Keiji', 'Hanabokuro']",Comp Ace
Little Witch Academia,104064,Manga,17,3,Finished,"['Adventure', 'Comedy', 'Fantasy']",7.39,3316,"['Yoshinari, You', 'Satou, Keisuke']",Shounen Ace
Nanbaka,93398,Manga,,,Publishing,"['Action', 'Comedy', 'Drama']",7.75,1344,"['Futamata, Shou']",comico
Nande Koko ni Sensei ga!?,100274,Manga,,,Publishing,"['Comedy', 'Ecchi']",6.87,9165,['Soborou'],Young Magazine (Weekly)
Odd Girl Out,119521,Manhwa,,,Publishing,"['Comedy', 'Slice of Life']",7.92,839,['Morangji'],Naver Webtoon
Red,12713,Manga,151,19,Finished,"['Action', 'Adventure', 'Drama']",7.61,1939,"['Muraeda, Kenichi']",Young Magazine Uppers
Rikei ga Koi ni Ochita no de Shoumei shitemita.,99528,Manga,,,Publishing,"['Comedy', 'Romance']",7.32,3956,"['Yamamoto, Alfred']",Comic Meteor
"Sayonara Isekai, Mata Kite Ashita",140026,Manga,,,Publishing,"['Adventure', 'Fantasy']",,24029,"['Kazamidori', 'kesima']",Comic Brise
Shouha Shouten!,140868,Manga,,,Publishing,['Comedy'],7.29,4291,"['Obata, Takeshi', 'Asakura, Akinari']",Jump SQ.
Sokuochi Mayuri-chan,120296,Manga,27,1,Finished,"['Comedy', 'Romance', 'Slice of Life', 'Ecchi']",6.55,12646,"['Suaru, Hajime']",ComicWalker
Toshokan no Daimajutsushi,110771,Manga,,,Publishing,['Fantasy'],8.32,255,"['Izumi, Mitsu']",good! Afternoon
Vivy: Fluorite Eye's Song,135396,Manga,,,Publishing,"['Action', 'Sci-Fi']",7.74,1367,"['Yamataka, Morito']",MAGCOMI
Weak Hero,128231,Manhwa,,,Publishing,"['Action', 'Drama']",8.08,570,"['RAZEN', 'Seopass']",Naver Webtoon
Yari no Yuusha no Yarinaoshi,108166,Manga,,,Publishing,"['Adventure', 'Fantasy']",7.05,6981,"['Neet', 'Aneko, Yusagi']",ComicWalker
Yosuga no Sora,15821,Manga,14,2,Finished,"['Drama', 'Romance']",6.75,10536,"['Mikaze, Takashi']",Comp Ace
Mushoku Tensei: Eris wa Honki de Kiba wo Togu,145006,Manga,,,Publishing,['Fantasy'],7.37,3520,"['Rifujin na Magonote', 'Higake, Take']",Gangan Online
Air Gear - Trick:358,95449,One-shot,1,,Finished,"['Action', 'Ecchi']",7.4,3214,['Oh! Great'],Shounen Magazine (Weekly)
Angel Beats! The 4-koma: Osora no Shinda Sekai kara,65497,Manga,,2,Finished,"['Action', 'Comedy', 'Supernatural']",7,7692,"['Komowata, Haruka']",Dengeki G's magazine
Angel Beats!: Track Zero,16648,Light Novel,9,1,Finished,"['Action', 'Comedy', 'Drama', 'Supernatural']",7.67,1635,"['Maeda, Jun', 'GotoP']",Dengeki G's magazine
Another 0,36199,Manga,2,1,Finished,"['Drama', 'Horror', 'Mystery', 'Supernatural']",6.87,9217,"['Kiyohara, Hiro', 'Ayatsuji, Yukito']",Young Ace
Barcode Geass: Hanbai no Lelouch,25854,Manga,13,1,Finished,['Comedy'],6.81,9873,"['Taniguchi, Gorou', 'Ookouchi, Ichirou', 'Katoo, Nao']",4-koma Nano Ace
Battle Royale II: Blitz Royale,2177,Manga,19,2,Finished,"['Action', 'Drama']",4.46,15535,"['Takami, Koushun', 'Tomizawa, Hitoshi']",Young Champion Magazine
Bleach,11330,One-shot,1,,Finished,"['Action', 'Supernatural']",6.69,11210,"['Kubo, Tite']",Akamaru Jump
Bleach 4-koma: Komaburi,30541,Manga,18,2,Finished,['Comedy'],6.65,11637,"['Kubo, Tite', 'Ooba, Atsushi']",Saikyou Jump
Bleach: The Unforgivens,23355,One-shot,1,,Finished,"['Action', 'Supernatural']",6.79,10044,"['Kubo, Tite']",Shounen Jump (Weekly)
Boku wa Imouto ni Koi wo Suru,3127,Manga,60,10,Finished,"['Comedy', 'Romance']",6.88,9092,"['Aoki, Kotomi']",Sho-Comi
Chibi Geass: 4-koma no Lelouch,10822,Manga,27,1,Finished,['Comedy'],6.55,12643,"[""As'Maria""]",Comp Ace
Clannad: Tomoyo After,3941,Manga,4,1,Finished,"['Drama', 'Romance']",7.96,762,"['Key', 'Sumiyoshi, Yukiko']",Dragon Age
Clannad: Tomoyo Dearest,11777,Manga,4,1,Finished,"['Drama', 'Romance']",7.83,1072,"['Key', 'Sumiyoshi, Yukiko']",Dragon Age Pure
Claymore Bangai-hen: Senshi Reimei-hen,115791,One-shot,1,,Finished,['Fantasy'],6.75,10561,"['Yagi, Norihiro']",Jump SQ.19
Code Black: Hayabiki no Lelouch,81535,Manga,10,2,Finished,['Comedy'],,34603,"['Hoshi, Tomajirou']",Young Magazine the 3rd
Code Geass: Boukoku no Akito,95655,Light Novel,13,3,Finished,"['Action', 'Drama', 'Sci-Fi', 'Supernatural']",6.9,8840,"['U.G.E', 'Kodachi, Ukyou']",Newtype Ace
Code Geass: Shikkoku no Renya,17311,Manga,40,7,Finished,"['Action', 'Adventure', 'Supernatural']",6.85,9413,"['Taniguchi, Gorou', 'Takuma, Tomomasa']",Shounen Ace
Code Geass: Soubou no Oz O2,76957,Manga,20,5,Finished,"['Action', 'Drama', 'Fantasy', 'Supernatural']",7.11,6193,"['Toujou, Chika']",Comp Ace
Daisuki desu!! Mahou Tenshi Cosmos,23986,Manga,29,7,Finished,"['Action', 'Fantasy', 'Romance', 'Sci-Fi', 'Ecchi']",6.74,10694,"['Minazuki, Suu', 'Seguchi, Takahiro']",Young Ace
Darker than Black: Kuro no Keiyakusha,1016,Manga,10,2,Finished,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Supernatural']",7.04,7130,"['Okamura, Tensai', 'Nokiya']",Asuka (Monthly)
